File generated on 03-Jul-2017 10:45:04, Level:3, Processing Version: 1.0, Amount of data removed from level 1: 9.3%, Site: Diadema-2016, Instrument: SMPS_TSI, Model:3082," S/N: 3082001629001 - Sizing quantitative, Concentration qualitative", Data processing details can be found in ftp://ftp.lfa.if.usp.br/LFA_Processed_Data/DataProcessing_GoAmazon_LFA.pdf
Time(UTC), UnixTime(UTC),Number concentration (cm-3),Total volume (um3.cm-3), Mean geometric diameter Dpg (nm),,,,
11/23/2016 5:00,1479877200, NaN, NaN, NaN,,,,
11/23/2016 5:05,1479877500, NaN, NaN, NaN,,,,
11/23/2016 5:10,1479877800, NaN, NaN, NaN,,,,
11/23/2016 5:15,1479878100, NaN, NaN, NaN,,,,
11/23/2016 5:20,1479878400, NaN, NaN, NaN,,,,
11/23/2016 5:25,1479878700, NaN, NaN, NaN,,,,
11/23/2016 5:30,1479879000, NaN, NaN, NaN,,,,
11/23/2016 5:35,1479879300, NaN, NaN, NaN,,,,
11/23/2016 5:40,1479879600, NaN, NaN, NaN,,,,
11/23/2016 5:45,1479879900, NaN, NaN, NaN,,,,
11/23/2016 5:50,1479880200, NaN, NaN, NaN,,,,
11/23/2016 5:55,1479880500, NaN, NaN, NaN,,,,
11/23/2016 6:00,1479880800, NaN, NaN, NaN,,,,
11/23/2016 6:05,1479881100, NaN, NaN, NaN,,,,
11/23/2016 6:10,1479881400, NaN, NaN, NaN,,,,
11/23/2016 6:15,1479881700, NaN, NaN, NaN,,,,
11/23/2016 6:20,1479882000, NaN, NaN, NaN,,,,
11/23/2016 6:25,1479882300, NaN, NaN, NaN,,,,
11/23/2016 6:30,1479882600, NaN, NaN, NaN,,,,
11/23/2016 6:35,1479882900, NaN, NaN, NaN,,,,
11/23/2016 6:40,1479883200, NaN, NaN, NaN,,,,
11/23/2016 6:45,1479883500, NaN, NaN, NaN,,,,
11/23/2016 6:50,1479883800, NaN, NaN, NaN,,,,
11/23/2016 6:55,1479884100, NaN, NaN, NaN,,,,
11/23/2016 7:00,1479884400, NaN, NaN, NaN,,,,
11/23/2016 7:05,1479884700, NaN, NaN, NaN,,,,
11/23/2016 7:10,1479885000, NaN, NaN, NaN,,,,
11/23/2016 7:15,1479885300, NaN, NaN, NaN,,,,
11/23/2016 7:20,1479885600, NaN, NaN, NaN,,,,
11/23/2016 7:25,1479885900, NaN, NaN, NaN,,,,
11/23/2016 7:30,1479886200, NaN, NaN, NaN,,,,
11/23/2016 7:35,1479886500, NaN, NaN, NaN,,,,
11/23/2016 7:40,1479886800, NaN, NaN, NaN,,,,
11/23/2016 7:45,1479887100, NaN, NaN, NaN,,,,
11/23/2016 7:50,1479887400, NaN, NaN, NaN,,,,
11/23/2016 7:55,1479887700, NaN, NaN, NaN,,,,
11/23/2016 8:00,1479888000, NaN, NaN, NaN,,,,
11/23/2016 8:05,1479888300, NaN, NaN, NaN,,,,
11/23/2016 8:10,1479888600, NaN, NaN, NaN,,,,
11/23/2016 8:15,1479888900, NaN, NaN, NaN,,,,
